gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,celltype
krt4,81.51893301854068,-0.2548695043990007,0.4380942497010038,22.67736029672014,3.8903041964917945e-4,0.010503821330527845,BrancPorEp-120
srsf3a.1,9.78741007395639,-1.7600828688912071,1.0298186428141427,18.757807666681174,0.002132318919175732,0.03760277533114695,BrancPorEp-120
ip6k2a,5.729164770085682,-0.02544005140422184,0.8467015199325895,18.62740477124258,0.0022546638161226418,0.03855115816195315,BrancPorEp-120
ENSDARG00000091625,11.43656830574554,-0.6668446716074593,0.7677743784792619,28.254636813894948,3.245542210418305e-5,0.0015356877449098098,BrancPorEp-120
slc2a1b,32.94211071102647,0.6499465764371338,0.5452763113416418,19.12367079282714,0.0018227963884100429,0.033248640993174025,BrancPorEp-120
sdc4,20.117920334268387,-0.02508606440416595,0.663409053233436,20.58559933563292,9.69845188619947e-4,0.020599511806287673,BrancPorEp-120
rps10,33.4239543943921,0.08359008661308079,0.46160515784972095,19.58260877222473,0.0014963184189423367,0.02873881796112331,BrancPorEp-120
ddit3,9.35695049081477,-2.155373276281178,1.0771597341709827,23.040312310980113,3.3162818349545667e-4,0.009547295716414382,BrancPorEp-120
prelid3b,29.82900395625072,-1.5814288948853907,0.7781540505632988,92.40264387220373,2.100818160696767e-18,2.5099524974924625e-15,BrancPorEp-120
foxq1a,9.844698025564332,-2.2865147427153474,1.350032139034051,23.600309413615676,2.5906842024115605e-4,0.007944211400868756,BrancPorEp-120
egfra,69.02376321071746,-0.8316947912068741,0.44187103655507004,34.207978560204566,2.164438712508124e-6,1.5438585980710932e-4,BrancPorEp-120
f3b,4.895197758634168,-17.41588266562479,265.798418543131,20.93536410549406,8.331551263291957e-4,0.018433557170033456,BrancPorEp-120
arhgap29b,25.11874990308231,-0.10026096573340992,0.6337406803156631,25.281140734896994,1.2295266795345357e-4,0.004451445455678444,BrancPorEp-120
elovl1a,38.5774373224385,-0.35905962152102344,0.6076681248146094,35.57966322337414,1.152592923166388e-6,9.336002677647743e-5,BrancPorEp-120
rreb1b,13.802360001578002,-0.4696678748058211,0.7431766903003568,22.728832493521637,3.8032913653969404e-4,0.010386245391561131,BrancPorEp-120
csrnp1a,6.986055635266294,-1.5210517998046307,1.2946806338614796,23.540937056476736,2.6594933015326017e-4,0.007994172212778242,BrancPorEp-120
tesk2,5.226479276214778,0.5401643582869273,0.875259057302361,25.14854458822461,1.3042629769625713e-4,0.004617090938447502,BrancPorEp-120
zswim5,30.260173673258777,-0.01585894333428833,0.594177941087371,21.756513925204004,5.824386585088174e-4,0.014347805922750713,BrancPorEp-120
plk3,8.479073430566176,1.9472587396425085,0.9983107247656097,18.339176115257885,0.002550027071916777,0.04202268750582854,BrancPorEp-120
crema,20.217106768284772,0.18106495157521846,0.6838436677770343,37.00747577418217,5.968847693193947e-7,5.593161397210563e-5,BrancPorEp-120
per2,10.81651577457674,-0.5680975991817904,0.7957839941483288,21.004957309637106,8.083145577536194e-4,0.018221392790115788,BrancPorEp-120
jund,7.823068505399291,-0.7171479791918287,1.3787991812253992,23.880641834026434,2.2888384962594857e-4,0.0072439464725987295,BrancPorEp-120
