gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,time,short_cell_type,seurat_clusters,short_cell_type_cluster
si:ch211-241e1.3,0.48894889862782887,17.988741759917307,185.7832262413002,9.40602151317508,0.0021627399235485145,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
iba57,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
mb21d2,0.48894889862782887,17.988741759917307,185.7832262413002,9.40602151317508,0.0021627399235485145,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
czib,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
zgc:110366,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
ripk2,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
gfi1aa,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
CT573467.1,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
prg4a,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
inhbab,0.48894889862782887,17.988741759917307,185.7832262413002,9.40602151317508,0.0021627399235485145,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
lrrc8da,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
sap130b,0.48894889862782887,17.988741759917307,185.7832262413002,9.40602151317508,0.0021627399235485145,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
rps28,17.015092828665104,-2.154228959923845,0.758034440837472,10.929346951608316,9.465285399266078e-4,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
hltf,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
C2H5orf22,0.48894889862782887,17.988741759917307,185.7832262413002,9.40602151317508,0.0021627399235485145,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
dhcr7,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
rbm33b,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
oprk1,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
bag1,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
myom1a,12.008484829680922,-3.0647469393770397,1.0944867015321866,14.363572882936037,1.5068946552358013e-4,0.04216903985673627,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
si:ch211-119o8.6,0.48894889862782887,17.988741759917307,185.7832262413002,9.40602151317508,0.0021627399235485145,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
si:ch211-235o23.1,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
prpf38b,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
hes6,0.48894889862782887,17.988741759917307,185.7832262413002,9.40602151317508,0.0021627399235485145,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
rab8a,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
uba52,18.674319453621553,-2.6987674963087724,0.823410037799898,15.920277665540208,6.606709351132386e-5,0.029905413502017076,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
rpl24,16.625218538275046,-2.5310159280143854,0.8381049018678663,13.156473482084031,2.865276289407483e-4,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
CU571081.1,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
stk16,0.48894889862782887,17.988741759917307,185.7832262413002,9.40602151317508,0.0021627399235485145,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
BX908756.3,0.48894889862782887,17.988741759917307,185.7832262413002,9.40602151317508,0.0021627399235485145,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
zgc:174945,0.48894889862782887,17.988741759917307,185.7832262413002,9.40602151317508,0.0021627399235485145,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
tspan5b,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
crmp1,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
sorbs2a,1.8319741980192956,5.845896213984532,2.145447295353483,9.35536785186497,0.002223333406501252,0.04733563209628739,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
lap3,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
gatb,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
fhdc1,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
gucy1b1,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
gpr183b,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
BX276105.1,0.48894889862782887,17.988741759917307,185.7832262413002,9.40602151317508,0.0021627399235485145,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
BX324156.2,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
cdk2ap2,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
si:ch211-71k14.1,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
arl11,0.48894889862782887,17.988741759917307,185.7832262413002,9.40602151317508,0.0021627399235485145,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
cfap58,0.48894889862782887,17.988741759917307,185.7832262413002,9.40602151317508,0.0021627399235485145,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
papss1,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
atg4da,0.48894889862782887,17.988741759917307,185.7832262413002,9.40602151317508,0.0021627399235485145,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
ucp1,8.103918706942672,-3.606506214506541,1.5518715734052606,10.697321010631153,0.0010729078466876218,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
CC2D1A,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
adgre5b.3.1,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
wipf1a,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
tmem182a,0.4171982283413401,17.977899729650336,185.8059609172462,9.977912919204625,0.001584291594601151,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
umps,0.48894889862782887,17.988741759917307,185.7832262413002,9.40602151317508,0.0021627399235485145,0.046234672164401615,t4-120HF.t0-UF,SkelFastMu,20,SkelFastMu-270
