Cluster,cell_type_cluster,cell_type_general,tissue,system,short_cell_type,short_cell_type_cluster
255,Pronephric_ciliated_cell_podocyte_and_multiciliated_255,Pronephric ciliated cell podocyte and multiciliated,kidney,pronephric,PronCilPod,PronCilPod_255
256,Smooth_muscle_unknown_type_256,Smooth muscle unknown type,muscle,musculoskeletal,SmooMusUnk,SmooMusUnk_256
257,Enterocyte_best4+_otop2+_257,Enterocyte best4+ otop2+,intestine,digestive,EnBestOtop,EnBestOtop_257
258,Radial_glial_cell_258,Radial glial cell,glia,nervous,Radialgli,Radialgli_258
259,Melanocyte_259,Melanocyte,pigment,neural crest,Melanocyte,Melanocyte_259
260,Fin_epidermis_260,Fin epidermis,fin,integumentary,FinEpiderm,FinEpiderm_260
261,KA''_neuron_ventral_floor_plate_derived_261,KA'' neuron ventral floor plate derived,neuron,nervous,KAiiNeuron,KAiiNeuron_261
262,Neuron_glutamatergic_262,Neuron glutamatergic,neuron,nervous,NeuronGlut,NeuronGlut_262
263,Macrophage_263,Macrophage,blood,immune,Macrophage,Macrophage_263
264,Retinal_pigmented_epithelium_264,Retinal pigmented epithelium,eye,sensory,RetPigEpit,RetPigEpit_264
265,Neuron_glutamatergic_265,Neuron glutamatergic,neuron,nervous,NeuronGlut,NeuronGlut_265
266,Retinal_rod_cell_266,Retinal rod cell,eye,sensory,RetinalRod,RetinalRod_266
267,Neuron_glutamatergic_maybe_267,Neuron glutamatergic maybe,neuron,nervous,NeurGlutmb,NeurGlutmb_267
268,Interrenal_gland_steroid_hormone_secreting_cell_268,Interrenal gland steroid hormone secreting cell,interrenal gland,endocrine,InterRenal,InterRenal_268
269,Neuron_glutamatergic_or_GABAergic_269,Neuron glutamatergic or GABAergic,neuron,nervous,NeGluorGab,NeGluorGab_269
270,Cone_photoreceptor_green_sensitive_270,Cone photoreceptor green sensitive,eye,sensory,ConePhotGr,ConePhotGr_270
