gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,time
CU467963.1,15.28009121055514,-0.4636651998827185,0.6605203941820201,0.48735878499324414,0.48510786151155133,NA,t4-120HF.t0-UF
pitpnab,22.37004462644893,0.04800351427857052,0.5943121335307437,0.006538613287702333,0.935551945248678,NA,t4-120HF.t0-UF
slc43a2b,227.61856337660186,0.49290737498628723,0.5681637568692819,0.7664396485739715,0.38132073407372835,0.7767797857548215,t4-120HF.t0-UF
hephl1b,2.547086196158356,-0.9344063553752416,1.4618224392632042,0.4056356970454509,0.5241930066356721,NA,t4-120HF.t0-UF
CT573163.1,0.32451336472468084,15.575677825754768,196.18122878399552,1.2988717951206183,0.25441940606270064,NA,t4-120HF.t0-UF
paxbp1,189.20328303652408,0.20778970333631777,0.3755443400446448,0.3084606815026447,0.578626312273788,0.8828787297379936,t4-120HF.t0-UF
AL929315.1,6.203193806229913,-1.1605263175699627,0.9905015430830965,1.3491484822387854,0.24542703545222652,NA,t4-120HF.t0-UF
slc7a1a,73.83883520096506,-0.0167830746231066,0.44188794596395137,0.0014622450174215373,0.9694968769934031,0.9889961474714732,t4-120HF.t0-UF
mtus2a,59.570058621661644,7.346901970486467e-4,0.4529490559880214,9.402960651812009e-4,0.9755373042316497,0.9896010741990978,t4-120HF.t0-UF
slc46a3,15.732178814063417,-0.2882049100823328,0.6768670077419869,0.18020695956318633,0.6711954430779632,NA,t4-120HF.t0-UF
stoml3b,214.05965566182232,1.2715990210558252,0.5344783784614391,5.818812289854726,0.015855648143110603,0.16988474425770422,t4-120HF.t0-UF
vps36,39.668989681484064,-0.053176357031626556,0.4922208422956145,0.011693055305855182,0.91388905578107,0.9791270975787164,t4-120HF.t0-UF
proser1,27.28491904617316,-0.17610287744001116,0.532492412787153,0.10948605233016195,0.7407300181704467,0.9378685067924967,t4-120HF.t0-UF
thsd1,1.4303031291814163,-2.4192560872011417,2.2821500231469676,1.1616687662443965,0.2811197216961395,NA,t4-120HF.t0-UF
si:ch211-287a12.9,1.7060957777150032,-0.6034282035003952,2.0176553665520784,0.08766367442261824,0.7671685900526555,NA,t4-120HF.t0-UF
thsd1.1,0.9132186547110823,-1.693912894196656,2.697657269247623,0.39406635439064,0.5301696603392875,NA,t4-120HF.t0-UF
tpte,51.50259487245147,-1.5608693785722405,0.5504230014108469,7.474356785623634,0.006258391977851157,0.09533873754659723,t4-120HF.t0-UF
smpd1,29.265630604660863,-1.7224423145698602,0.6845122487998546,5.856719572369826,0.015517689223018263,0.1681341627314029,t4-120HF.t0-UF
ilk,61.55209939374199,0.051389713325519615,0.46121003008004363,0.012799479610521303,0.9099236974608391,0.9785673660549059,t4-120HF.t0-UF
timm10b,5.434959228270831,-1.005443819813069,1.0707002095020335,0.8600066510201856,0.3537368303455242,NA,t4-120HF.t0-UF
si:ch1073-15f19.2,0.18040843865751996,14.7428616075377,198.2890063892364,0.7402860665756119,0.389569256204618,NA,t4-120HF.t0-UF
CABZ01058107.1,0,NA,NA,NA,NA,NA,t4-120HF.t0-UF
si:ch211-214k5.3,0,NA,NA,NA,NA,NA,t4-120HF.t0-UF
si:ch211-214k5.3.1,0.1441049260671609,14.484458889223491,198.9535254977995,0.675946569126519,0.41098601272394447,NA,t4-120HF.t0-UF
cd209,2.9027458193937865,1.1173236644393205,1.3924011479878873,0.6490871377612137,0.4204392407730729,NA,t4-120HF.t0-UF
mtnr1bb,3.874799342131327,1.4035761021761277,1.248430121934412,1.331025258805603,0.24862290507405402,NA,t4-120HF.t0-UF
fat3b,16.5630490125865,0.7030489391944444,0.6384587395533374,1.2307907622911074,0.2672533087456705,NA,t4-120HF.t0-UF
chordc1b,20.60114463438713,-0.483152179358255,0.6547366052146808,0.5406795735004692,0.46215122556504973,NA,t4-120HF.t0-UF
kpna7,0.17340302164899613,-15.109032535919749,282.0850595132315,0.5434399238460177,0.46101059651715437,NA,t4-120HF.t0-UF
grm5a,4.7675034493594515,0.007331770853327766,1.052594177086765,5.336728547433722e-5,0.99417127245795,NA,t4-120HF.t0-UF
rab38b,6.332999022167699,-0.3398773975060367,1.0773889912385195,0.09862278563150895,0.7534886465942973,NA,t4-120HF.t0-UF
tmem135,33.48729390048716,1.1819895187981855,0.5145383728524876,5.409679238251854,0.020025395337289302,0.19837728775271277,t4-120HF.t0-UF
cct8,43.99523351813317,-0.3595513936549796,0.4806957123477346,0.5537126998503012,0.45680464265854454,0.8246159675012339,t4-120HF.t0-UF
map3k7cl,1.6501396709059497,-1.3124582383900691,2.0555084225377884,0.3917568207415911,0.5313773848771778,NA,t4-120HF.t0-UF
bach1b,53.478799912111214,1.0808687112868138,0.5110910863191287,4.596573229764722,0.032035928462916384,0.258073817766319,t4-120HF.t0-UF
grik1a,22.125715439294666,0.5188104785675021,0.5845014495974372,0.7952008424932657,0.37253212340328345,NA,t4-120HF.t0-UF
tiam1a,59.29677265141794,-0.565692435385019,0.4323687119710383,1.6777496943812267,0.19522373371790772,0.6163993717845462,t4-120HF.t0-UF
sod1,53.71867422152679,-1.2787360363966818,0.4764614333364259,6.819404362867992,0.009017263789743494,0.12080624811359598,t4-120HF.t0-UF
scaf4a,25.384582428372724,0.2315865702017006,0.5471702259916084,0.18168701920584596,0.6699274336295156,NA,t4-120HF.t0-UF
ugt5d1,10.39872161906654,1.1841937780054839,0.8024026794924312,2.2459626578006535,0.13396351593633768,NA,t4-120HF.t0-UF
postna,35.14124038914721,0.046239756350055304,0.5339336956126064,0.00855890979257623,0.9262893696969532,0.9826961640506015,t4-120HF.t0-UF
ftr54,0.1441049260671609,14.484458889223491,198.9535254977995,0.675946569126519,0.41098601272394447,NA,t4-120HF.t0-UF
trpc4a,10.399673482263118,-0.6846412466670256,0.8295758260956084,0.6758844614644666,0.41100750764478927,NA,t4-120HF.t0-UF
ufm1,68.9007713138878,0.6381108508211042,0.43391258819243733,2.2095764487612897,0.13715632332003577,0.5288572110934475,t4-120HF.t0-UF
frem2a,18.552252954688804,0.07188053812166235,0.6552919511431987,0.012151278605635696,0.912224719883754,NA,t4-120HF.t0-UF
trim47,20.865541974355118,-0.7976721380776757,0.6226319453692059,1.5981904341007436,0.20615984121635023,NA,t4-120HF.t0-UF
trim3b,123.45925146174915,-0.005244543251557636,0.40400050950677485,4.0275419621593755e-4,0.9839885395507284,0.9915975083641844,t4-120HF.t0-UF
fhdc3,16.536312475353498,0.4671748163844941,0.6504300702302276,0.5268832475284988,0.46792016240686435,NA,t4-120HF.t0-UF
arfip2b,0.978697348253652,-0.5966037233305213,2.3087595516279382,0.06697749957648647,0.7957894690621914,NA,t4-120HF.t0-UF
dchs1b,99.6716644256976,-0.1916232352299145,0.3857309499603598,0.2451225057555959,0.6205306061006572,0.897444762014662,t4-120HF.t0-UF
SLC46A3,11.119307626360632,-0.7265864054193923,0.7897153739924603,0.8286813921646647,0.3626540955117495,NA,t4-120HF.t0-UF
synj1,67.76449928770705,-0.013452266809233764,0.4489724377058039,0.0010083526067603543,0.9746677776066406,0.9892763812991054,t4-120HF.t0-UF
slc9a6b,16.144341978045116,-0.24512639527676067,0.6517402288232689,0.1417617387840835,0.7065358492243166,NA,t4-120HF.t0-UF
fhl1b,48.76912031502841,-0.45052740957409815,0.636206801879046,0.49238009012604067,0.4828675174755554,0.841157884477822,t4-120HF.t0-UF
adgrg4b,24.45612492603298,0.18168710064669596,0.695468721125675,0.07050198647655748,0.7906072860303649,NA,t4-120HF.t0-UF
htatsf1,63.346188328847376,-0.5264349029483907,0.49575744382159365,1.1057540113993554,0.2930067981249236,0.7160369117978116,t4-120HF.t0-UF
si:ch73-52f15.5,12.307151160267342,-1.3871075591718862,0.8066575579278259,2.8589578486674085,0.09086635160151006,NA,t4-120HF.t0-UF
tmtops3b,2.955868895380037,-1.2756763407875857,1.4125174919437207,0.8018829832721366,0.3705309841355049,NA,t4-120HF.t0-UF
fgf13b,17.970614667755342,-0.15599503289860148,0.6497031037863354,0.05732439321838001,0.8107759450966656,NA,t4-120HF.t0-UF
