gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,time,short_cell_type,seurat_clusters,short_cell_type_cluster
atp2b1a,23.540650136368026,2.893525183268801,0.7351714546211702,15.484310032552713,8.319295344961341e-5,0.00697945093677283,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
slc26a3.1,6.605008659332873,3.9403867916155813,1.285603610916994,10.391507717354422,0.0012659620876595656,0.04339663586514726,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
rap1b,37.72821304374371,2.2960441592623653,0.6271123462454785,13.674741098319544,2.1735846305371157e-4,0.013325745773369856,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
snd1,112.57443544465669,1.817840675229461,0.5240354687775585,12.407668174459225,4.275744430090166e-4,0.02065314127746583,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
abcd2,10.801145474367488,3.346704561851621,0.9728922886199819,12.426684285236576,4.232426597896643e-4,0.02065314127746583,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
sb:cb1058,29.392217201474534,3.351035626465736,0.810811265071201,16.557724321051744,4.7191368520207056e-5,0.004701440088825628,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
bbox1,86.0774827616149,4.293660457672158,0.6483783714551189,43.36380684453505,4.545178084350564e-11,3.622506933227399e-8,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
cebpa,6.171471782768369,5.194895497378936,1.6880786698349062,11.447874723827564,7.157581556982879e-4,0.029504363692629924,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
rhpn2,15.944655422174566,4.956499507589981,1.0494370899840098,26.447235963236814,2.7083574364603655e-7,7.84931227948695e-5,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
bco1l,49.87197707078829,2.1342090290550657,0.6392801145110922,11.799909175913442,5.923361071742617e-4,0.025178233462287286,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
sec24d,16.931296048756884,2.5467349754109145,0.7688794950715016,11.432060434963667,7.218758996314725e-4,0.029504363692629924,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
aifm3,24.404287674619344,4.11910897841695,0.9509268175293917,17.871300169879802,2.3635881424793572e-5,0.002691113927937211,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
tcima,8.654128260471857,6.225259160662771,1.7639724642245502,20.6235218430474,5.590501631151397e-6,8.101145090959387e-4,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
efnb1,21.4218914599283,2.464418778855195,0.7322054643977502,11.878848571972469,5.6775029812853e-4,0.025178233462287286,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
