gene,log2FC_EW1H,log2FC_EW4H,log2FC_EY1H,log2FC_EY4H,padj_EW1H,padj_EW4H,padj_EY1H,padj_EY4H
gdpd1,1.423968294,0.555710383,1.592957999,0.188253978,0.004015559,1,0.001380594,1
si:dkey-32e6.3,1.776305757,0.345573195,2.794164914,1.051356661,0.004015559,1,1.31E-07,0.455648543
dnajb9b,1.472409938,0.696618312,2.38715068,-0.305847183,0.003452681,1,1.11E-07,1
loxl2a,1.633741159,0.273508772,1.411917581,-0.516245229,0.003177818,1,0.024680792,1
eif4e1c,1.385257123,0.520465396,1.892446584,0.265590999,0.003090148,1,5.05E-05,0.967692816
ago3b,1.567603909,-0.023559084,2.378010044,1.00894725,0.002807396,1,4.73E-07,0.256539749
ahsa1l,1.518647974,1.184770131,1.38869073,-0.276369782,0.002531182,0.159841135,0.008446946,1
golt1bb,1.60620919,0.507186418,1.678637536,0.550416834,0.002483624,1,0.001599198,0.977057077
nop2,1.477942665,0.733343726,1.399507942,0.085771181,0.002450882,1,0.002596015,1
slc20a1b,1.550448006,0.316844766,1.922642512,0.114506393,0.002070198,1,3.63E-05,1
aldh1l2,1.603812378,0.960681291,1.509894675,1.323675234,0.002014103,0.856530813,3.83E-04,0.004895744
mpv17l2,1.576711518,0.688121305,1.694692593,0.018885557,0.001901356,1,8.03E-04,1
slc38a5a,1.641073987,0.377625975,1.52377665,0.612358621,0.001182013,1,0.004009167,0.820382306
top1a,1.577270303,0.725912807,1.786472911,0.230124577,0.001171247,1,1.03E-04,1
abhd3,1.700945192,0.64040784,2.241089091,1.560122302,9.38E-04,1,2.24E-06,0.006550914
esrra,1.773277117,0.300404661,2.01647488,0.306121712,9.06E-04,1,5.64E-05,1
ptrh1,1.687972875,0.837354932,1.978285848,0.818027236,8.74E-04,0.933876975,4.91E-05,0.497282235
odc1,1.563778747,1.13913205,3.637402095,1.134030054,8.39E-04,0.163573706,4.93E-17,0.051824358
rrs1,1.65224433,0.584156648,1.474426998,-0.113703009,8.16E-04,1,0.005402342,1
flvcr1,1.66756617,0.395929694,2.303233824,-0.004680041,7.40E-04,1,5.02E-07,1
mthfd2,1.839850701,0.53127412,2.138105251,0.482192801,7.03E-04,1,2.34E-04,0.606366996
dnajb9a,1.85951169,0.879138754,2.57274201,-0.794986956,6.74E-04,1,1.02E-08,0.230327234
pgp,1.707164582,1.272478107,1.849030072,0.383727516,5.94E-04,0.131628795,1.66E-04,1
lmbr1l,1.657831061,0.349711413,1.827442819,0.3985369,4.37E-04,1,1.32E-04,1
ENSDART00000137635,1.84111404,0.080888102,2.272293826,-0.182945182,3.75E-04,1,3.67E-06,1
ugt5d1,1.755840353,0.876388183,1.615142848,0.097636843,3.63E-04,0.934960606,0.001516805,1
pdia4,1.725768337,1.399724983,1.839716342,0.365951054,2.85E-04,0.03674246,6.89E-05,1
ENSDART00000142511,1.860553993,0.056159903,2.305946741,-0.133498509,2.38E-04,1,1.74E-06,1
ENSDART00000125757,2.525211921,2.203054366,1.754098945,0.614995425,2.35E-04,0.01558123,0.016510027,1
dnaja,1.861838676,2.214770771,1.686465895,-0.748248832,1.79E-04,7.52E-06,7.33E-04,0.599132725
abcf2a,1.795683154,0.472950796,2.615722154,-0.228865502,1.75E-04,1,5.80E-09,1
ugt5a1,1.828435757,0.968854817,2.897634822,0.663590767,1.65E-04,0.674410417,9.93E-11,0.759980039
prmt6,1.925230435,0.624806213,1.689551458,0.221348566,1.61E-04,1,0.002070281,1
tinagl1,1.803497458,0.72800227,1.806186354,0.095108362,1.34E-04,1,7.05E-05,1
zgc:153115,1.851490291,0.206820228,2.549418164,-0.131956668,1.14E-04,1,1.82E-08,1
si:ch211-217k17.8,1.939878345,-0.675308765,1.237466263,0.059501894,9.00E-05,1,0.049831365,1
sgpp1a,1.869623227,0.654407896,1.530293602,0.525613215,8.39E-05,1,0.003346965,0.972091421
dkc1,1.828162716,0.670507923,1.300584371,0.209416532,8.29E-05,1,0.015961261,1
ftr86,2.104398685,0.233442115,1.361571949,0.723382814,4.50E-05,1,0.037073725,0.809964579
zmynd19,1.943952511,0.248530029,2.007623795,-0.217642125,4.46E-05,1,2.89E-05,1
gdpgp1,2.281823301,1.194939535,2.061689671,0.937441371,3.35E-05,0.671317631,2.70E-04,0.542910691
ENSDART00000124374,1.954143078,0.695462994,1.325492061,-0.134541098,2.98E-05,1,0.016829352,1
sult1st2,1.956251999,0.873852872,1.208977504,-0.448007078,2.73E-05,0.874770282,0.037686769,1
cdkn1a,1.923531405,-0.003607154,1.644950264,-2.76779208,2.21E-05,1,3.32E-04,1.63E-10
slc9a3.1,1.980764637,0.2277591,1.600688252,-1.220889788,2.11E-05,1,0.002511213,0.134391215
zgc:153258,2.173214395,0.302243169,1.381202306,0.742890194,2.04E-05,1,0.03428475,0.762824705
slc47a2.1,2.01049039,0.529291318,1.369035472,0.037448596,1.54E-05,1,0.012871738,1
lrrc4ba,2.832784508,0.606652791,2.433118486,0.440561289,1.28E-05,1,8.42E-05,1
si:ch73-80e5.2,2.038894505,0.707666586,2.301726636,0.99388191,1.23E-05,1,5.73E-07,0.230327234
