cyp24a1,-1.848847916,-0.533173223,-3.030451294,-0.427773307,8.85E-05,1,6.85E-12,1
snx10a,-1.980307161,-0.637928708,-1.927578234,0.145714065,3.31E-05,1,8.42E-05,1
ENSDART00000097365,-6.493933646,-1.044526661,-3.217939894,-0.911548059,1.85E-05,1,0.015853117,1
plch2b,-2.639990691,-0.784240442,-2.175150135,-0.997117076,1.14E-05,1,0.002713759,0.534301826
gtse1,-2.409960449,-0.726110111,-1.557393384,0.340375924,8.40E-06,1,0.02454231,1
ppp1r27,-2.396187172,0.146915591,-2.366680413,-1.51584453,5.67E-06,1,3.91E-06,0.021171299
nox1,-2.347049372,-0.26561636,-1.250145077,0.991041066,7.96E-07,1,5.09E-04,0.299065422
il1b,-2.366193252,-0.412372946,-1.188056081,-1.472905431,5.14E-07,1,0.108599975,0.036797158
elf3,-2.305002667,-0.528951008,-1.351307361,0.566427586,2.15E-07,1,0.013088791,0.792960263
rnf183,-2.391434225,-0.538989913,-1.554421812,0.551213146,1.19E-07,1,0.004011323,0.851225827
plekhs1.3,-3.066247041,-0.285591033,-1.862813199,0.72714037,6.39E-09,1,0.03358268,0.515677901
ENSDART00000054353,-2.712675681,-0.48344809,-1.569833097,-0.229737014,1.77E-09,1,0.006882322,1
ccl34b.8,-7.477391528,-0.153225341,-2.950570127,-2.017868571,8.96E-10,1,0.005050416,0.06383184
crtac1a,-2.736359282,-0.391348108,-1.466796956,-0.106836206,5.44E-10,1,0.03204462,1
cart3,-2.845925756,0.189107847,-2.013342562,1.415324778,1.45E-10,1,0.005441933,0.029286419
ypel3,-2.807139891,-0.439115712,-3.490580577,0.70458009,1.05E-10,1,1.18E-15,0.586077022
plekhs1,-3.200783369,-1.325455183,-1.822725759,2.005708795,8.43E-11,0.141262702,0.033746382,4.18E-04
nfil3-2,-2.917433892,-0.845629741,-1.933773969,0.636744494,5.73E-11,0.966956196,0.001290353,0.894440765
plekhs1.1,-3.247311403,-1.16442235,-1.975921174,1.813584198,1.49E-11,0.339312643,0.006128079,0.001535066
ENSDART00000078611,-7.891514785,-0.177418637,-5.554173022,-4.166377961,4.04E-12,1,0.007147181,0.008989053
noxo1b,-3.818716723,-0.192048043,-3.729253979,1.304979113,6.41E-18,1,1.96E-15,0.037514222
