gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,time
nocta,201.58496761811045,3.210321631939073,0.5155812368456185,33.82544179134776,6.0285299976622185e-9,8.42487067173295e-6,t1-15HF.t0-UF
abcc2,188.9988774294599,1.5130931563839474,0.328355868516484,20.589282654291196,5.691383915293577e-6,0.0017551207989676926,t1-15HF.t0-UF
pla2g12b,92.3124381452156,1.6076805220303765,0.39135207709046704,16.416694998787982,5.083551391338468e-5,0.008482702172412548,t1-15HF.t0-UF
alox5a,43.660643189827645,-2.035615184229216,0.5040641343073189,15.58867920759156,7.872452210701855e-5,0.011687863269570962,t1-15HF.t0-UF
esr2b,199.04886737619347,1.695560685532597,0.40061211534956953,17.09679421899719,3.552221452746034e-5,0.006618972640283444,t1-15HF.t0-UF
zgc:92040,60.79949873455677,-1.9030525256329125,0.5410614413827484,11.912446477989178,5.576012043092823e-4,0.03862091836899475,t1-15HF.t0-UF
si:ch211-131k2.2,31.493656792947245,-2.593773470162729,0.723395973865352,12.147070778853895,4.916502220112586e-4,0.03457012252884196,t1-15HF.t0-UF
g6pca.2,684.5183914195568,1.7502722601914167,0.4027447004213554,17.898404176915207,2.3301641510187642e-5,0.0046520062872124615,t1-15HF.t0-UF
asah2,114.19153450972878,1.4301475765880687,0.4172931635012426,11.43321718291211,7.214266273806783e-4,0.04671735774626448,t1-15HF.t0-UF
atp2a1l,357.0937334820061,-1.7689007960667074,0.45142628083854947,14.571592527655568,1.3493345122928842e-4,0.016048467922802602,t1-15HF.t0-UF
glud1b,803.698697540364,1.1965426208261989,0.3487846555831283,11.467444080392696,7.082602218272964e-4,0.04630613614052148,t1-15HF.t0-UF
CABZ01048956.1,45.883106639331956,2.2930552280120358,0.5501971520005324,16.690108338288823,4.400987484629675e-5,0.007687975012212463,t1-15HF.t0-UF
slc6a19a.1,120.75939768316816,2.8906029124275947,0.43392578677722266,40.76861275937178,1.7136346287474162e-10,3.193072524899352e-7,t1-15HF.t0-UF
slc6a19a.2,44.48535028747291,2.097371801054317,0.44616768657334016,21.742789895443345,3.117593354632117e-6,0.0011254920141316738,t1-15HF.t0-UF
apoea,277.81234097004665,1.6690864361497038,0.48360632366274975,11.37831490922295,7.430649643909116e-4,0.04747123601080224,t1-15HF.t0-UF
dtnbp1b,56.847338416983405,1.6209433682405558,0.4738639624283471,11.475579959970375,7.051663848976537e-4,0.04630613614052148,t1-15HF.t0-UF
tinagl1,216.8719832127244,1.476822549783034,0.4044177810471631,12.86356218274399,3.3504221884992665e-4,0.029036992300326976,t1-15HF.t0-UF
zgc:123103,156.11859546173878,1.9474246064209069,0.44180143434532,18.378255428662627,1.8111308837205006e-5,0.004218425683332332,t1-15HF.t0-UF
nme2b.2,538.0746982250417,-1.7775634149317008,0.4107792371807173,17.74158820624885,2.530338453796261e-5,0.004963014721656526,t1-15HF.t0-UF
apoa1b,2354.7937548621862,1.6846859876463807,0.47048384579779906,12.163107093919322,4.8744108630497144e-4,0.03449108446132646,t1-15HF.t0-UF
porb,395.03947874476364,1.1799047181374125,0.32746182097617943,12.669649553290895,3.716391835005446e-4,0.0303279275294605,t1-15HF.t0-UF
si:ch211-235m3.5,27.394294723136476,2.14578750581571,0.5326636979675011,16.24928684635725,5.553049254305534e-5,0.008770507676742315,t1-15HF.t0-UF
foxo1a,1525.5583970855248,1.1941906739686075,0.35071687032417964,11.284537318423943,7.815530818721746e-4,0.04919584610200698,t1-15HF.t0-UF
si:dkey-202l22.6,17.76144662040096,3.4711382184403115,0.7128451942674144,26.81048745594319,2.2441613975634136e-7,1.5681077765474354e-4,t1-15HF.t0-UF
gdpd1,32.93248099607585,1.9366271946611178,0.47709237394719456,16.357270957414933,5.24545357659813e-5,0.008596865710904006,t1-15HF.t0-UF
a2ml,74.00903723381148,1.9029127750687116,0.45951770549400456,16.525474941092753,4.8000809684938015e-5,0.008256139265809339,t1-15HF.t0-UF
ctrl,897.8171416463114,-2.0875316977135503,0.570948194725799,12.37509120293413,4.3509955037193633e-4,0.0325502516398137,t1-15HF.t0-UF
osbpl2b,172.7143920447204,1.3293729586831784,0.34170562454661096,14.728869370027446,1.241309551186685e-4,0.015419823091407932,t1-15HF.t0-UF
pard6b,125.11619701755575,1.2183383666321603,0.3410587670462159,12.537586647441913,3.988471013055102e-4,0.03128719085083339,t1-15HF.t0-UF
