gene_id	mut_hf_R1	mut_hf_R2	mut_hf_R3	mut_nf_R1	mut_nf_R2	mut_nf_R3	wt_hf_R1	wt_hf_R2	wt_hf_R3	wt_nf_R1	wt_nf_R2	wt_nf_R3
ENSDARG00000105629	1719.938	2771.315	2121.641	3598.8	1959.807	1664.637	1483.655	1918.105	1921.341	1860.12	1839.167	2368.162
ENSDARG00000105630	9	25	0	30	17	50	22	9	33	33	0	12
ENSDARG00000105631	2443.175	3940.796	4110.894	3068.43	2323.138	2503.988	4043.474	3369.973	4810.435	1825.286	2493.681	2568.589
ENSDARG00000105634	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105636	0	0	13	0	0	0	0	0	0	0	0	0
ENSDARG00000105638	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105641	27	68	23	109	94	34	39	39	61	61	34	22
ENSDARG00000105642	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105643	335.789	608.287	661.642	543.621	505.975	372.318	243.934	366.331	527.233	292.05	224.252	268.265
ENSDARG00000105644	224.394	348.28	293.496	177.483	47.115	180	304.897	334.629	285.564	105.973	68.09	236.226
ENSDARG00000105648	1846.692	2718.628	2304.954	2116.114	1504.317	1864.395	2415.134	1993.923	2638.663	1702.078	1845.31	2249.222
ENSDARG00000105651	6907.515	9601.593	6633.407	4969.647	6882.396	11697.123	5682.508	5721.334	12003.464	4885.428	9623.005	8885.321
ENSDARG00000105652	225.257	383.858	325	370	241	174.062	227.967	258	218.048	405	290	117.108
ENSDARG00000105653	0	0	0	0	0	0	0	0	8.791	0	0	13
ENSDARG00000105655	0	21	22	24	0	0	101	7	32	0	9	14
ENSDARG00000105657	51	113	84	20	39	0	33	55	39	25	13	48
ENSDARG00000105659	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105662	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105665	0	16	7	0	0	0	0	21	0	18	0	7
ENSDARG00000105666	11.012	34.928	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105667	0	6	0	0	0	0	12	13	0	0	0	0
ENSDARG00000105669	800.36	1361.918	1169.769	1344.381	1002.317	827.257	767.785	904.007	1099.916	1129.385	897.845	1369.506
ENSDARG00000105670	10	11	34	89	48	31	0	50	38	0	1	29
ENSDARG00000105671	15.405	20.5	0	0	1.021	0	1.097	15.416	47.627	0	3	0
ENSDARG00000105672	0	5	0	0	38.315	0	0	0	9	10.156	0	10.614
ENSDARG00000105674	0	22.028	29.121	0	0	0	0	3	15.051	35	0	11
ENSDARG00000105675	35.936	42.056	37.552	51.318	0	0	65.569	16.919	21.62	70.124	12.019	0
ENSDARG00000105677	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105681	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105682	64	168	127	186	70	105	142	259	156	198	74	94
ENSDARG00000105683	32.767	41.919	73.783	22.33	28.161	46.829	26.039	40.526	55.716	70.745	0	41.523
ENSDARG00000105687	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105688	67.7	53.507	98.238	70.603	36.2	44.067	83.912	45.171	78.011	22	26.806	42.22
ENSDARG00000105689	1665.649	1062.864	1214.381	1949.734	784.462	1035.698	1068.719	1272.604	1123.547	723.71	879.248	1086.388
ENSDARG00000105690	4	24	63	54	0	30	8	39	36	71	11	14
ENSDARG00000105691	4	15	35	23	0	24	0	19	0	0	0	9
ENSDARG00000105692	113.636	240.355	215.587	162.015	154.001	117.107	54.072	130.644	161.385	160.253	9.628	160.266
ENSDARG00000105693	1550.782	2189.019	1408.64	2674	2127.242	1869.596	1694.358	1893.817	1574.453	1390.003	2181	1872.864
