Phase,BaselineProp,PropMean.t0_UF,PropMean.t1_15HF,PropMean.t2_30HF,PropMean.t3_60HF,PropMean.t4_120HF,PropMean.t5_240HF,Fstatistic,P.Value,FDR,cluster
S,0.025380710659898477,0.009578544061302683,-0,0.006493506493506494,0.020289855072463763,0.0849673202614379,0.06500251298374936,3.758638810936576,0.0021002585856257578,0.006300775756877273,PharynPeri_25
G1,0.9724437998549673,0.9855558946190623,1.0000000000000002,0.9935064935064932,0.9753811405985324,0.9150326797385618,0.9349974870162502,2.3735590772716333,0.036644887433010205,0.05496733114951531,PharynPeri_25
G2M,0.002175489485134155,0.004865561319635168,-0,-0,0.004329004329004329,-0,0,0.8019489661815313,0.548013786691288,0.548013786691288,PharynPeri_25
G2M,0.008858267716535433,0.005038256913503657,0.01893939393939394,-0,0.004761904761904762,0.009999999999999998,-2.4532694666933983e-18,2.0655407099673657,0.07846289902849723,0.22661422777971507,PharynArch_116
G1,0.985236220472441,0.9829492457798817,0.9759324009324011,0.9956140350877193,0.9904761904761907,0.9899999999999994,0.9999999999999993,1.6718500281040463,0.15107615185314338,0.22661422777971507,PharynArch_116
S,0.005905511811023622,0.012012497306614956,0.00512820512820513,0.004385964912280701,0.004761904761904764,-6.133173666733496e-19,2.8035152732586433e-19,0.661139415896571,0.65395582713042,0.65395582713042,PharynArch_116
G2M,0.0049261083743842365,0.00308641975308642,0.01388888888888889,-0,-5.007715329123864e-19,0.03333333333333332,-9.813077866773593e-18,1.8864148350863856,0.09302244257084262,0.1588011194543778,FastMuscle_269
G1,0.9938423645320197,0.9969135802469138,0.9861111111111113,0.9999999999999999,1.0000000000000002,0.9333333333333328,0.9999999999999996,1.8162474878368626,0.10586741296958521,0.1588011194543778,FastMuscle_269
S,0.0012315270935960591,-0,-0,-0,-0,0.03333333333333332,-9.813077866773593e-18,1.5414102424888472,0.1731367898445758,0.1731367898445758,FastMuscle_269
S,0.025790349417637273,0.010660731021555767,-0,0.011795859412614346,0.01728110599078341,0.1075187969924812,0.031016696077100565,5.028901601686517,1.3066073170032533e-4,3.91982195100976e-4,PharynPeri_28
G1,0.9700499168053245,0.9859028428616059,0.9905684754521964,0.9882041405873854,0.9827188940092166,0.8859022556390971,0.9642663227908236,2.9253864765943574,0.012081200710082153,0.01812180106512323,PharynPeri_28
G2M,0.004159733777038269,0.0034364261168384888,0.009431524547803619,-0,-7.511572993685796e-19,0.006578947368421051,0.004716981132075469,1.8638010378118708,0.0969968917345104,0.0969968917345104,PharynPeri_28
G1,0.9747191011235955,0.9547251782034392,1.0000000000000002,0.9782608695652173,0.9731738790878579,0.9693627450980389,0.969456254195569,0.5007525664075818,0.7759282748051973,0.8311235923745799,ConePhoRed_207
G2M,0.014747191011235955,0.029711834059660155,-0,0.0108695652173913,0.016073432740099414,0.01021241830065359,0.013761467889908247,0.46355781779277844,0.8036506327755821,0.8311235923745799,ConePhoRed_207
S,0.010533707865168539,0.015562987736900786,-0,0.010869565217391302,0.010752688172043017,0.020424836601307186,0.016782277914522255,0.42565861762662976,0.8311235923745799,0.8311235923745799,ConePhoRed_207
S,0.049484536082474224,0.03343388637506286,0.04435185185185186,0.056191950464396276,0.07573812580231064,0.11111111111111106,0.12779941577409928,0.7033275397469169,0.6208716412307501,0.9037787676513971,VascularHR_226
G2M,0.09175257731958762,0.08337523043405398,0.09592592592592596,0.14055727554179565,0.13126719237117182,0.03333333333333331,0.07010710808179162,0.3697902439061779,0.869625750370843,0.9037787676513971,VascularHR_226
G1,0.8587628865979381,0.8831908831908835,0.8597222222222224,0.803250773993808,0.7929946818265176,0.8555555555555554,0.8020934761441089,0.31579726600651614,0.9037787676513971,0.9037787676513971,VascularHR_226
S,0.15517241379310345,0.12086644849618204,0.12069648933632975,0.08866995073891626,0.27564102564102566,0.2077380952380952,0.11525974025974019,1.2054066066592568,0.303597368600272,0.5291479044799522,EntericGli_57
G1,0.8117816091954023,0.844491195262584,0.8531910390906069,0.88990147783251206,0.6756410256410258,0.7558333333333332,0.8529684601113171,1.1095003190493116,0.35276526965330146,0.5291479044799522,EntericGli_57
G2M,0.033045977011494254,0.034642356241234226,0.02611247157306353,0.021428571428571422,0.04871794871794871,0.036428571428571414,0.03177179962894248,0.47568013707933116,0.7946862814909085,0.7946862814909085,EntericGli_57
S,0.006557377049180328,0.008771929824561405,-0,-0,5.007715329123864e-19,-0,0.019230769230769225,2.0407736108460486,0.06966057124071176,0.06966057124071215,FastMuscle_250
